index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
28276,65.0,2.356020942408378,27.756989,27.889954,28.243103,28.0766,28.247742,28.281433,28.312073,28.140442,28.220642,28.244202,28.273071,28.283691,28.247925,28.366455,28.385529
28277,66.25,2.356020942408378,27.776855,27.892365,28.245178,28.090637,28.258911,28.295532,28.321472,28.156433,28.238342,28.258942,28.300903,28.301025,28.269684,28.37503,28.396362
28278,67.5,2.356020942408378,27.803589,27.890442,28.24469,28.101257,28.267517,28.306213,28.325623,28.167267,28.253296,28.271149,28.323242,28.312897,28.292206,28.378662,28.401154
28279,68.75,2.356020942408378,27.823364,27.87918,28.24295,28.108582,28.271057,28.305359,28.32544,28.171753,28.261658,28.279816,28.334991,28.315826,28.313507,28.380981,28.406647
28280,70.0,2.356020942408378,27.838654,27.869629,28.24292,28.115356,28.27185,28.299988,28.32071,28.172058,28.265442,28.281311,28.347351,28.315125,28.32904,28.385895,28.413513
28281,71.25,2.356020942408378,27.844727,27.859222,28.243927,28.125732,28.26883,28.2948,28.314758,28.16568,28.266907,28.282257,28.359528,28.314392,28.337524,28.386505,28.410156
28282,72.5,2.356020942408378,27.847809,27.847656,28.243591,28.13324,28.25763,28.2901,28.31134,28.153809,28.267181,28.285065,28.370972,28.312744,28.339783,28.384705,28.399658
28283,73.75,2.356020942408378,27.853455,27.837524,28.240814,28.135895,28.24234,28.28357,28.308868,28.142822,28.265778,28.28888,28.379913,28.30957,28.338196,28.38269,28.38684
28284,75.0,2.356020942408378,27.86267,27.824768,28.232788,28.132263,28.228271,28.275269,28.306427,28.13684,28.259766,28.29419,28.383972,28.306183,28.335632,28.381378,28.377716
28285,76.25,2.356020942408378,27.870117,27.811249,28.221008,28.129028,28.219177,28.26712,28.305908,28.132874,28.247162,28.295044,28.38565,28.302368,28.33319,28.380157,28.373444
28286,77.5,2.356020942408378,27.877686,27.799438,28.212097,28.121887,28.20819,28.26056,28.305695,28.125854,28.23761,28.289734,28.382538,28.298523,28.326447,28.373535,28.36908
